Case #,Year,Date,Country,State,Description,Deaths,Tesla driver,Tesla occupant,Other vehicle,Cyclists/Peds,TSLA+cycl/peds,Model,Autopilot claimed,Verified Tesla Autopilot Deaths,Verified Tesla Autopilot Deaths + All Deaths Reported to NHTSA SGO,Source,Note
1,2023,01/01/2023,USA,CA,Tesla crash,1,1,0,1,1,1,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
2,2014,01/25/2014,USA,NY,Tesla crash,1,1,0,1,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
3,2015,05/26/2015,USA,AZ,Tesla crash,1,1,0,0,1,1,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
4,2013,12/03/2013,Canada,-,Tesla crash,1,0,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
5,2013,06/12/2013,USA,OR,Tesla crash,1,1,0,1,1,1,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
6,2016,11/23/2016,USA,MO,Tesla crash,2,0,0,1,0,0,Model S,-,0,1,https://example.com/source,Synthetic sample record for demo purposes
7,2021,12/11/2021,USA,NC,Tesla crash,1,0,1,0,0,0,Model 3,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
8,2016,10/13/2016,China,-,Tesla crash,1,0,0,1,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
9,2018,02/13/2018,USA,FL,Tesla crash,1,1,0,1,1,1,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
10,2019,09/25/2019,Norway,-,Tesla crash,3,1,0,0,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
11,2017,09/04/2017,USA,TX,Tesla crash,1,1,0,1,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
12,2023,06/16/2023,USA,NV,Tesla crash,1,0,1,0,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
13,2013,09/25/2013,USA,AZ,Tesla crash,2,0,0,1,0,0,Model Y,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
14,2015,12/23/2015,USA,NC,Tesla crash,1,1,0,1,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
15,2016,04/19/2016,USA,GA,Tesla crash,3,0,0,0,1,1,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
16,2016,08/07/2016,USA,TX,Tesla crash,1,1,0,1,1,1,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
17,2021,08/28/2021,USA,MO,Tesla crash,2,0,0,0,0,0,Model S,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
18,2013,05/15/2013,USA,CA,Tesla crash,1,1,0,0,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
19,2016,07/16/2016,USA,IL,Tesla crash,2,0,1,0,0,0,Model S,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
20,2020,07/23/2020,USA,NV,Tesla crash,1,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
21,2021,10/16/2021,China,-,Tesla crash,1,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
22,2021,10/08/2021,Mexico,-,Tesla crash,1,0,1,1,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
23,2022,06/08/2022,Norway,-,Tesla crash,1,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
24,2017,02/03/2017,USA,FL,Tesla crash,1,1,0,0,0,0,Model S,-,0,1,https://example.com/source,Synthetic sample record for demo purposes
25,2021,10/26/2021,USA,OH,Tesla crash,1,0,0,0,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
26,2023,05/10/2023,Mexico,-,Tesla crash,1,0,0,0,0,0,Model S,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
27,2022,01/01/2022,USA,MO,Tesla crash,1,0,0,0,0,0,Model Y,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
28,2018,03/18/2018,USA,NC,Tesla crash,3,1,0,0,0,0,Model 3,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
29,2013,06/07/2013,USA,PA,Tesla crash,1,1,0,1,0,0,Model Y,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
30,2023,03/14/2023,USA,NC,Tesla crash,1,0,0,0,0,0,Model S,-,0,1,https://example.com/source,Synthetic sample record for demo purposes
31,2013,01/28/2013,USA,MO,Tesla crash,2,0,0,0,0,0,Model S,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
32,2020,02/25/2020,USA,NY,Tesla crash,2,1,0,0,0,0,Model S,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
33,2017,05/02/2017,USA,NC,Tesla crash,1,0,0,0,1,1,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
34,2014,12/14/2014,Norway,-,Tesla crash,1,0,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
35,2013,11/11/2013,Mexico,-,Tesla crash,2,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
36,2022,07/22/2022,USA,NC,Tesla crash,2,0,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
37,2019,06/15/2019,USA,PA,Tesla crash,1,1,0,0,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
38,2020,11/21/2020,Canada,-,Tesla crash,1,1,0,0,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
39,2022,02/15/2022,USA,TX,Tesla crash,2,0,0,1,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
40,2019,02/25/2019,Netherlands,-,Tesla crash,1,0,0,1,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
41,2019,09/20/2019,USA,FL,Tesla crash,2,0,0,0,0,0,Model S,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
42,2018,05/25/2018,Canada,-,Tesla crash,1,0,0,0,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
43,2016,09/03/2016,USA,OR,Tesla crash,1,1,0,1,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
44,2015,07/13/2015,USA,NY,Tesla crash,1,1,0,1,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
45,2022,09/24/2022,USA,NV,Tesla crash,2,0,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
46,2021,12/06/2021,Norway,-,Tesla crash,2,1,0,1,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
47,2020,05/13/2020,USA,PA,Tesla crash,1,0,0,0,1,1,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
48,2018,06/08/2018,USA,IL,Tesla crash,1,0,0,0,0,0,Model 3,Y,1,1,https://example.com/source,Synthetic sample record for demo purposes
49,2023,08/22/2023,USA,OR,Tesla crash,3,1,0,1,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
50,2014,03/10/2014,Netherlands,-,Tesla crash,2,1,0,1,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
51,2014,12/27/2014,Netherlands,-,Tesla crash,1,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
52,2023,09/14/2023,USA,TX,Tesla crash,1,1,0,0,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
53,2023,08/23/2023,USA,TX,Tesla crash,1,1,0,0,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
54,2015,05/11/2015,USA,FL,Tesla crash,1,0,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
55,2016,04/12/2016,USA,WA,Tesla crash,2,1,0,0,0,0,Model 3,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
56,2017,04/23/2017,USA,WA,Tesla crash,2,0,0,1,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
57,2020,09/17/2020,China,-,Tesla crash,1,1,0,1,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
58,2018,12/18/2018,USA,MO,Tesla crash,1,1,0,0,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
59,2015,05/08/2015,USA,NY,Tesla crash,1,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
60,2018,08/04/2018,USA,WA,Tesla crash,1,1,0,1,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
61,2013,02/13/2013,Netherlands,-,Tesla crash,1,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
62,2020,07/20/2020,USA,PA,Tesla crash,1,1,0,1,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
63,2022,10/02/2022,Norway,-,Tesla crash,1,1,0,0,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
64,2022,10/16/2022,USA,OR,Tesla crash,1,1,0,0,0,0,Model S,Y,1,1,https://example.com/source,Synthetic sample record for demo purposes
65,2017,10/22/2017,USA,NY,Tesla crash,1,1,0,0,1,1,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
66,2016,10/10/2016,USA,TX,Tesla crash,1,0,0,0,1,1,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
67,2020,05/01/2020,USA,IL,Tesla crash,1,0,0,0,0,0,Model S,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
68,2014,11/15/2014,USA,NC,Tesla crash,2,0,0,0,0,0,Model 3,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
69,2017,08/10/2017,USA,PA,Tesla crash,1,0,0,0,0,0,Model 3,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
70,2023,01/22/2023,USA,NV,Tesla crash,1,1,0,1,0,0,Model S,-,0,1,https://example.com/source,Synthetic sample record for demo purposes
